,Open,High,Low,Close,Volume,Signal
0,0.0993187204003334,0.09975051695965328,0.0993187204003334,0.0993187204003334,469033600,SELL
1,0.094568950860877,0.094568950860877,0.09413715451955795,0.09413715451955795,175884800,SELL
2,0.08765948530609263,0.08765948530609263,0.08722769469022751,0.08722769469022751,105728000,BUY
3,0.08938664197921753,0.08981843827684341,0.08938664197921753,0.08938664197921753,86441600,BUY
4,0.09197816997766495,0.09240996045904341,0.09197816997766495,0.09197816997766495,73449600,BUY
5,0.09759152680635452,0.09802332328210582,0.09759152680635452,0.09759152680635452,48630400,BUY
6,0.10234121978282928,0.10277378863581974,0.10234121978282928,0.10234121978282928,37363200,BUY
7,0.10665994882583618,0.1070917452251336,0.10665994882583618,0.10665994882583618,46950400,BUY
8,0.11227323114871979,0.11270502740850422,0.11227323114871979,0.11227323114871979,48003200,BUY
9,0.1226370632648468,0.12306885958976349,0.1226370632648468,0.1226370632648468,55574400,BUY
10,0.12436423450708388,0.12479603082322827,0.12436423450708388,0.12436423450708389,93161600,SELL
11,0.12177340793768865,0.12177340793768865,0.12134162336587906,0.12134162336587906,68880000,SELL
12,0.11831912934116383,0.11831912934116383,0.11788733303546906,0.11788733303546906,35750400,BUY
13,0.11918272823095322,0.12004632097138791,0.11918272823095322,0.11918272823095322,21660800,SELL
14,0.1170237599397248,0.1170237599397248,0.11659197509288788,0.11659197509288788,35728000,SELL
15,0.11184140815656492,0.11184140815656492,0.11140961199998856,0.11140961199998856,45158400,SELL
16,0.1070917452251336,0.1070917452251336,0.10665994882583618,0.10665994882583618,55686400,SELL
17,0.10493275652793296,0.10493275652793296,0.10450097173452377,0.10450097173452377,39827200,BUY
18,0.11011426895856857,0.1105460652480686,0.11011426895856857,0.11011426895856857,21504000,SELL
19,0.11011424557575208,0.11011424557575208,0.10925066471099854,0.10925066471099854,23699200,SELL
20,0.10579634995781574,0.10579634995781574,0.10536455363035202,0.10536455363035202,23049600,BUY
21,0.10579636693000793,0.10622816332674183,0.10579636693000793,0.10579636693000793,14291200,BUY
22,0.10795526951551437,0.10881885023521486,0.10795526951551437,0.10795526951551437,14067200,SELL
23,0.10752351370920307,0.10752351370920307,0.10709171742200851,0.10709171742200851,13395200,BUY
24,0.11356861889362335,0.11400041519331591,0.11356861889362335,0.11356861889362335,41574400,SELL
25,0.1105460652480686,0.1105460652480686,0.11011426895856857,0.11011426895856857,30083200,BUY
26,0.11227323114871979,0.11313681213742477,0.11227323114871979,0.11227323114871979,15904000,BUY
27,0.11356861889362335,0.11443221149300849,0.11356861889362335,0.11356861889362335,35548800,BUY
28,0.11356868409795828,0.11400048064556256,0.113136887550354,0.113136887550354,11222400,SELL
29,0.11184140815656492,0.11184140815656492,0.11140961199998856,0.11140961199998856,24640000,SELL
30,0.11140961838653722,0.11140961838653722,0.1105460375547409,0.1105460375547409,23699200,SELL
31,0.10752351370920307,0.10752351370920307,0.10709171742200851,0.10709171742200851,28156800,SELL
32,0.10363741772779585,0.10363741772779585,0.1032056212425232,0.1032056212425232,43904000,SELL
33,0.09845511975785712,0.09845511975785712,0.09759152680635452,0.09759152680635452,46188800,SELL
34,0.09240996045904341,0.09240996045904341,0.09197816997766495,0.09197816997766495,23766400,BUY
35,0.09543251991271973,0.09586431040777277,0.09543251991271973,0.09543251991271973,19152000,BUY
36,0.0988868996500969,0.0997504809259057,0.0988868996500969,0.0988868996500969,7929600,BUY
37,0.0993187204003334,0.09975051695965328,0.0993187204003334,0.0993187204003334,13865600,SELL
38,0.095000741436763,0.095000741436763,0.09413715451955795,0.09413715451955795,16755200,SELL
39,0.09413715451955795,0.094568950860877,0.09413715451955795,0.09413715451955795,18345600,SELL
40,0.09154639355789318,0.09154639355789318,0.0911146029829979,0.0911146029829979,13843200,SELL
41,0.09068277774438849,0.09068277774438849,0.09025020897388458,0.09025020897388458,14560000,SELL
42,0.0889548108678624,0.0889548108678624,0.08809122443199158,0.08809122443199158,11155200,BUY
43,0.09025020897388458,0.09068277774438849,0.09025020897388458,0.09025020897388458,12275200,BUY
44,0.09413715451955795,0.095000741436763,0.09413715451955795,0.09413715451955795,19241600,SELL
45,0.08895484143123628,0.08895484143123628,0.08852304518222809,0.08852304518222809,22310400,SELL
46,0.08420512614847216,0.08420512614847216,0.08377332985401154,0.08377332985401154,24371200,BUY
47,0.0850687175989151,0.08550051394612594,0.0850687175989151,0.0850687175989151,14112000,SELL
48,0.0829097078155617,0.0829097078155617,0.08204612135887146,0.08204612135887146,16979200,BUY
49,0.08722769469022751,0.08765948530609263,0.08722769469022751,0.08722769469022751,19488000,BUY
50,0.08852304518222809,0.08895484143123628,0.08852304518222809,0.08852304518222809,10841600,BUY
51,0.09154641628265381,0.09241000341224745,0.09154641628265381,0.09154641628265381,14761600,BUY
52,0.09197816997766495,0.09240996045904341,0.09197816997766495,0.09197816997766495,11760000,SELL
53,0.0911145934289739,0.0911145934289739,0.09068279713392258,0.09068279713392258,16172800,SELL
54,0.09025023840640364,0.09025023840640364,0.08981844782829285,0.08981844782829285,13708800,SELL
55,0.08981843827684341,0.08981843827684341,0.08938664197921753,0.08938664197921753,5376000,SELL
56,0.08938663191481265,0.08938663191481265,0.08852304518222809,0.08852304518222809,11603200,SELL
57,0.08204614322339737,0.08204614322339737,0.08161435276269913,0.08161435276269913,15321600,SELL
58,0.07815925744680362,0.07815925744680362,0.07772746682167053,0.07772746682167053,28380800,SELL
59,0.07556845714877215,0.07556845714877215,0.07470487058162689,0.07470487058162689,29859200,BUY
